file_path,word,annotid,transcription
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,puddle,0xab714f,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,puddle,0xcc61fc,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,puddle,0x4c9ebd,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,puddle,0xcbf764,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,puddle,0x057ee0,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,spider,0xa97c5f,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,dragon+suit,0x6d76ee,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,packet,0xb2978d,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,packet,0x4c2ef6,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,packet,0x793cc3,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,packet,0x80ce94,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,mouth,0x0263ee,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_17/Home_Visit/Coding/Audio_Annotation/01_17_sparse_code.cha,puzzle+piece,0x241940,###
/Volumes/pn-opus/Seedlings/Subject_Files/02/02_11/Home_Visit/Coding/Audio_Annotation/02_11_sparse_code.cha,water,0x333f2f,###
/Volumes/pn-opus/Seedlings/Subject_Files/02/02_11/Home_Visit/Coding/Audio_Annotation/02_11_sparse_code.cha,water,0x23f6cc,###
/Volumes/pn-opus/Seedlings/Subject_Files/02/02_11/Home_Visit/Coding/Audio_Annotation/02_11_sparse_code.cha,water,0x6a369f,###
/Volumes/pn-opus/Seedlings/Subject_Files/02/02_11/Home_Visit/Coding/Audio_Annotation/02_11_sparse_code.cha,water,0xcdd95f,###
/Volumes/pn-opus/Seedlings/Subject_Files/02/02_11/Home_Visit/Coding/Audio_Annotation/02_11_sparse_code.cha,water,0x024df8,###
/Volumes/pn-opus/Seedlings/Subject_Files/02/02_16/Home_Visit/Coding/Audio_Annotation/02_16_sparse_code.cha,door,0x0461ad,###
/Volumes/pn-opus/Seedlings/Subject_Files/02/02_17/Home_Visit/Coding/Audio_Annotation/02_17_sparse_code.cha,shoe,0x9b28e4,###
/Volumes/pn-opus/Seedlings/Subject_Files/02/02_17/Home_Visit/Coding/Audio_Annotation/02_17_sparse_code.cha,baby,0x20cd1e,###
/Volumes/pn-opus/Seedlings/Subject_Files/02/02_17/Home_Visit/Coding/Audio_Annotation/02_17_sparse_code.cha,hippo,0xe8884a,###
/Volumes/pn-opus/Seedlings/Subject_Files/02/02_17/Home_Visit/Coding/Audio_Annotation/02_17_sparse_code.cha,bowl,0x7087f9,###
/Volumes/pn-opus/Seedlings/Subject_Files/03/03_14/Home_Visit/Coding/Audio_Annotation/03_14_sparse_code.cha,o,0x9cd1c8,###
/Volumes/pn-opus/Seedlings/Subject_Files/03/03_14/Home_Visit/Coding/Audio_Annotation/03_14_sparse_code.cha,o,0xb19a0c,###
/Volumes/pn-opus/Seedlings/Subject_Files/03/03_16/Home_Visit/Coding/Audio_Annotation/03_16_sparse_code.cha,ball,0x836561,###
/Volumes/pn-opus/Seedlings/Subject_Files/06/06_13/Home_Visit/Coding/Audio_Annotation/06_13_sparse_code.cha,baby,0x9fa188,###
/Volumes/pn-opus/Seedlings/Subject_Files/06/06_15/Home_Visit/Coding/Audio_Annotation/06_15_sparse_code.cha,dog,0xd01975,###
/Volumes/pn-opus/Seedlings/Subject_Files/06/06_15/Home_Visit/Coding/Audio_Annotation/06_15_sparse_code.cha,dog,0x8658a8,###
/Volumes/pn-opus/Seedlings/Subject_Files/06/06_16/Home_Visit/Coding/Audio_Annotation/06_16_sparse_code.cha,milk,0xe77482,###
/Volumes/pn-opus/Seedlings/Subject_Files/06/06_16/Home_Visit/Coding/Audio_Annotation/06_16_sparse_code.cha,ball,0x09820b,###
/Volumes/pn-opus/Seedlings/Subject_Files/06/06_17/Home_Visit/Coding/Audio_Annotation/06_17_sparse_code.cha,poo+poo,0x1f0a1d,###
/Volumes/pn-opus/Seedlings/Subject_Files/06/06_17/Home_Visit/Coding/Audio_Annotation/06_17_sparse_code.cha,deer,0x1c0cab,###
/Volumes/pn-opus/Seedlings/Subject_Files/07/07_13/Home_Visit/Coding/Audio_Annotation/07_13_sparse_code.cha,bug,0x227315,###
/Volumes/pn-opus/Seedlings/Subject_Files/07/07_14/Home_Visit/Coding/Audio_Annotation/07_14_sparse_code.cha,ball,0xa6df2f,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_11/Home_Visit/Coding/Audio_Annotation/08_11_sparse_code.cha,milk,0xfa5955,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_12/Home_Visit/Coding/Audio_Annotation/08_12_sparse_code.cha,dog,0xa313bb,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_12/Home_Visit/Coding/Audio_Annotation/08_12_sparse_code.cha,hair,0x849a3c,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,water,0x76e445,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,bottle,0x4f5ac5,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,water,0xb95691,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,falafel,0x9593fa,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,beet,0xf6270f,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,coat,0x06f721,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,gears,0xd98f2d,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,buckle,0x8a1870,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,bowl,0x213827,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,bowl,0x4155f2,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,drum,0xb4e26d,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,mail,0x2bbc38,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,water,0x27df94,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,water,0x5749dc,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,water,0x9e0eed,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,doggy,0x500f2d,###
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_15/Home_Visit/Coding/Audio_Annotation/08_15_sparse_code.cha,pizza,0xaa6ab5,###
